location,year,class,env,plot,range,row,id,yield,sg,redness,lightness,roundness,lxw
Becker,2020,CHIPS,Becker_2020,1,1,1,Atlantic,51.747,1.063,21.65,32.05,0.971344791,1.196019665
Becker,2020,CHIPS,Becker_2020,2,2,1,MN18AF6643-10,43.948,1.049,13.4,45.9,0.981654615,1.055510882
Becker,2020,CHIPS,Becker_2020,3,3,1,MN18AF6643-12,50.933,1.055,22.65,44.5,0.975204853,1.097643909
Becker,2020,CHIPS,Becker_2020,4,4,1,MN18AF6643-13,48.288,1.066,12.5,43.7,0.973682794,NA
Becker,2020,CHIPS,Becker_2020,5,5,1,MN18AF6643-7,59.343,1.06,21.15,40.25,0.974516049,1.189355384
Becker,2020,CHIPS,Becker_2020,6,6,1,MN18AF6643-9,42.456,1.056,25.4,44.4,0.988732425,1.08045977
Becker,2020,CHIPS,Becker_2020,7,7,1,MN18AF6648-10,1.424,1.057,14.9,40.9,0.964585768,1.188956395
Becker,2020,CHIPS,Becker_2020,8,8,1,MN18AF6648-14,34.995,1.062,13.65,48.05,0.965843993,1.125802476
Becker,2020,CHIPS,Becker_2020,9,9,1,MN18AF6648-8,70.805,1.048,17.75,41.7,0.975229228,1.14806729
Becker,2020,CHIPS,Becker_2020,10,10,1,Atlantic,43.676,1.059,20.6,34.5,0.984819479,1.021923077
Becker,2020,CHIPS,Becker_2020,11,11,1,MN18AF6648-9,23.534,1.049,13.8,38.1,0.972325799,1.09236351
Becker,2020,CHIPS,Becker_2020,12,12,1,MN18AF6658-5,44.897,1.056,20.8,38.4,0.980079373,1.253115005
Becker,2020,CHIPS,Becker_2020,13,13,1,MN18AF6661-2,25.094,1.055,18.5,38.45,0.969442053,1.18847414
Becker,2020,CHIPS,Becker_2020,14,14,1,MN18AF6661-9,52.629,1.062,22.6,26.3,0.989261253,1.021533161
Becker,2020,CHIPS,Becker_2020,15,15,1,MN18AF6675-2,71.279,1.064,17.45,45.65,0.99386985,1.030917962
Becker,2020,CHIPS,Becker_2020,16,16,1,MN18AF6680-12,38.522,1.065,20.2,29.45,0.981823338,1.187157302
Becker,2020,CHIPS,Becker_2020,17,16,2,MN18AF6680-8,54.799,1.052,14.6,43.6,0.976122139,1.155480103
Becker,2020,CHIPS,Becker_2020,18,15,2,MN18AF6716-2,8.952,1.053,21.1,35.9,0.969240238,1.079710145
Becker,2020,CHIPS,Becker_2020,19,14,2,Atlantic,36.42,1.062,20.6,35.7,0.988673305,1.071662979
