location,year,class,env,plot,range,row,id,yield,sg,redness,lightness,roundness,lxw
Becker,2020,CHIPS,Becker_2020,1,1,1,Atlantic,461.615,1.063,21.65,32.05,0.971344791,1.196019665
Becker,2020,CHIPS,Becker_2020,2,2,1,MN18AF6643-10,392.04,1.049,13.4,45.9,0.981654615,1.055510882
Becker,2020,CHIPS,Becker_2020,3,3,1,MN18AF6643-12,454.355,1.055,22.65,44.5,0.975204853,1.097643909
Becker,2020,CHIPS,Becker_2020,4,4,1,MN18AF6643-13,430.76,1.066,12.5,43.7,0.973682794,1.354771015
Becker,2020,CHIPS,Becker_2020,5,5,1,MN18AF6643-7,529.375,1.06,21.15,40.25,0.974516049,1.189355384
Becker,2020,CHIPS,Becker_2020,6,6,1,MN18AF6643-9,378.73,1.056,25.4,44.4,0.988732425,1.08045977
Becker,2020,CHIPS,Becker_2020,7,7,1,MN18AF6648-10,12.705,1.057,14.9,40.9,0.964585768,1.188956395
Becker,2020,CHIPS,Becker_2020,8,8,1,MN18AF6648-14,312.18,1.062,13.65,48.05,0.965843993,1.125802476
Becker,2020,CHIPS,Becker_2020,9,9,1,MN18AF6648-8,631.62,1.048,17.75,41.7,0.975229228,1.14806729
Becker,2020,CHIPS,Becker_2020,10,10,1,Atlantic,389.62,1.059,20.6,34.5,0.984819479,1.021923077
Becker,2020,CHIPS,Becker_2020,11,11,1,MN18AF6648-9,209.935,1.049,13.8,38.1,0.972325799,1.09236351
Becker,2020,CHIPS,Becker_2020,12,12,1,MN18AF6658-5,400.51,1.056,20.8,38.4,0.980079373,1.253115005
Becker,2020,CHIPS,Becker_2020,13,13,1,MN18AF6661-2,223.85,1.055,18.5,38.45,0.969442053,1.18847414
Becker,2020,CHIPS,Becker_2020,14,14,1,MN18AF6661-9,469.48,1.062,22.6,26.3,0.989261253,1.021533161
Becker,2020,CHIPS,Becker_2020,15,15,1,MN18AF6675-2,635.855,1.064,17.45,45.65,0.99386985,1.030917962
Becker,2020,CHIPS,Becker_2020,16,16,1,MN18AF6680-12,343.64,1.065,20.2,29.45,0.981823338,1.187157302
Becker,2020,CHIPS,Becker_2020,17,16,2,MN18AF6680-8,488.84,1.052,14.6,43.6,0.976122139,1.155480103
Becker,2020,CHIPS,Becker_2020,18,15,2,MN18AF6716-2,79.86,1.053,21.1,35.9,0.969240238,1.079710145
Becker,2020,CHIPS,Becker_2020,19,14,2,Atlantic,324.885,1.062,20.6,35.7,0.988673305,1.071662979
Becker,2020,CHIPS,Becker_2020,20,13,2,MN18AF6717-10,478.555,1.046,13.8,45.2,0.981350453,1.130741443
Becker,2020,CHIPS,Becker_2020,21,12,2,MN18AF6717-2,515.46,1.067,13.9,41.75,0.990602817,1.08010906
Becker,2020,CHIPS,Becker_2020,22,11,2,MN18AF6717-3,413.82,1.047,13.9,37.8,0.989398803,1.15376389
Becker,2020,CHIPS,Becker_2020,23,10,2,MN18AF6717-6,488.235,1.047,26.85,38.3,0.987713505,1.060680675
Becker,2020,CHIPS,Becker_2020,24,9,2,MN18AF6717-7,208.725,1.049,25.5,36.6,0.970106657,1.172216537
Becker,2020,CHIPS,Becker_2020,25,8,2,MN18AF6717-9,422.895,1.055,24.75,40.6,0.965428626,1.257608418
Becker,2020,CHIPS,Becker_2020,26,7,2,MN18AF6718-1,444.675,1.068,13.3,40.5,0.94090058,1.336002138
Becker,2020,CHIPS,Becker_2020,27,6,2,MN18AF6720-2,79.86,1.068,16.35,45.95,0.99127774,1.054273645
Becker,2020,CHIPS,Becker_2020,28,5,2,Atlantic,505.78,1.066,15,38.6,0.989735774,1.061249981
Becker,2020,CHIPS,Becker_2020,29,4,2,MN18AF6722-2,416.24,1.076,18.5,38.6,0.965757829,1.025140591
Becker,2020,CHIPS,Becker_2020,30,3,2,MN18AF6724-5,457.985,1.064,13.1,23.7,0.963393266,1.185342981
Becker,2020,CHIPS,Becker_2020,31,2,2,MN18AF6724-8,372.075,1.064,10.25,47.25,0.983280393,1.041542414
Becker,2020,CHIPS,Becker_2020,32,1,2,MN18AF6724-9,248.05,1.057,4.3,61.3,0.97918178,1.150244638
Becker,2020,CHIPS,Becker_2020,33,1,3,MN18AF6725-1,285.56,1.065,10.85,53.55,0.976320597,1.173648135
Becker,2020,CHIPS,Becker_2020,34,2,3,MN18AF6725-2,355.74,1.055,21.5,48.3,0.9894951,1.023185984
Becker,2020,CHIPS,Becker_2020,35,3,3,MN18AF6726-2,155.485,1.047,8.3,64.6,0.983816114,1.169227661
Becker,2020,CHIPS,Becker_2020,36,4,3,MN18AF6726-4,599.555,1.056,6.7,61.1,0.98654207,1.049814299
Becker,2020,CHIPS,Becker_2020,37,5,3,Atlantic,497.31,1.072,15.1,39,0.985606181,1.036564444
Becker,2020,CHIPS,Becker_2020,38,6,3,MN18AF6728-7,292.215,1.063,8.5,68,0.970519182,1.082556781
Becker,2020,CHIPS,Becker_2020,39,7,3,MN18AF6729-1,69.575,1.045,5.4,67.2,0.989509404,1.09827709
Becker,2020,CHIPS,Becker_2020,40,8,3,MN18AF6730-3,381.15,1.053,7.6,62.3,0.985421267,1.058297213
