Supplementary Tables ,,,,,,
Table S1. Genotyping platforms with number clones,,,,,,
Genotyping platform,Source,Number of clones,Chips ,Fresh market,comments,
GeneSeek 31k array,MN,,69,28,MN18 &MN19,
,WI,,,,,
,ND,,,,,
,Checks,,,,,
sub total,,97,,,,
DarTag ,MN,,46,40,MN18 &MN19,
,WI,,2,,WI17,
,ND,,,,,
,Checks,,1,,Atlantic,
sub total,,89,,,,
Potato 8k array,MN,,1,,MN,
,WI,,11,,WI17,
,ND,,,7,,
,Checks,,4,6,,
sub total,,29,,,,
Total,,215,134,81,,
,,,,,,
,,,,,,
,,,,,,
Table S2. Genomic estimated total genotypic values for all traits,,,,,,
clone_id,yield,r2_yield,sg,r2_sg,roundness,r2_round
Atlantic,352.6026786,0.307740084,1.065051595,0.463770452,0.979857148,0.460485536
Cascade,299.737041,0.457741891,1.059884208,0.477237292,0.980818799,0.325547992
Lamoka,352.5297279,0.406436264,1.064513352,0.349373058,0.979297113,0.346723517
MN04844,290.0171641,0.428794096,1.061611525,0.462443217,0.980739992,0.390812413
MN18AF6643-10,330.4759415,0.291533224,1.063592675,0.449235509,0.980167893,0.427486075
MN18AF6643-12,347.6976418,0.305897381,1.063861286,0.471684849,0.979974462,0.444322755
MN18AF6643-13,341.1735838,0.333777335,1.065304177,0.477244355,0.979084504,0.471785291
MN18AF6643-7,339.7307867,0.284637445,1.06497037,0.440859229,0.978952751,0.415200343
MN18AF6643-9,343.9867737,0.27967185,1.064917638,0.446467139,0.979608389,0.424599518
MN18AF6648-10,303.2740535,0.339773056,1.063765339,0.495134688,0.978739986,0.482409666
MN18AF6648-14,322.4779709,0.292590234,1.064300394,0.429639095,0.978612094,0.408044542
MN18AF6648-8,328.3541048,0.300488431,1.063848625,0.440886962,0.978935899,0.420554024
MN18AF6648-9,322.0362146,0.30837894,1.063750752,0.452182494,0.978537436,0.436705923
MN18AF6658-5,335.4879517,0.348803052,1.06392393,0.479133923,0.979883401,0.478060633
MN18AF6661-2,329.5613626,0.261584957,1.063832719,0.392341341,0.978685488,0.372723206
MN18AF6661-9,339.7131244,0.304445875,1.063981905,0.449163508,0.980535231,0.432202694
